OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
1180800,11808,ARTISTIC BEAUTY COLLEGES - FLAGSTAFF,AZ,proprietary,280,"589,314"
2220300,15694,ARTISTIC BEAUTY COLLEGES - GLENDALE,AZ,proprietary,146,"363,779"
1234300,12343,ARTISTIC BEAUTY COLLEGES - PHOENIX,AZ,proprietary,216,"466,221"
1293700,12937,ARTISTIC BEAUTY COLLEGES - SCOTTSDALE,AZ,proprietary,40,"97,846"
886500,8865,ARTISTIC BEAUTY COLLEGES - TUCSON,AZ,proprietary,370,"842,743"
3076400,30764,BRYMAN SCHOOL (THE) - PHOENIX,AZ,proprietary,"5,659","11,822,635"
3097800,30978,CARSTEN INSTITUTE,AZ,proprietary,82,"195,248"
728300,7283,CENTRAL ARIZONA COLLEGE,AZ,public 2 year,"1,291","2,700,264"
3072200,30722,CHANDLER-GILBERT COMMUNITY COLLEGE,AZ,public 2 year,"1,132","2,202,325"
945100,9451,CHAPARRAL COLLEGE,AZ,proprietary,424,"1,044,007"
2280500,16098,CHARLES OF ITALY BEAUTY COLLEGE,AZ,proprietary,96,"251,892"
107200,1072,COCHISE COLLEGE,AZ,public 2 year,"1,514","3,416,375"
3100400,31004,COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE,AZ,public 2 year,674,"1,450,504"
3120300,31203,COLLEGE AMERICA - FLAGSTAFF,AZ,proprietary,325,"902,740"
2174900,15333,COLLINS COLLEGE,AZ,proprietary,"1,120","2,761,012"
3034400,30344,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,proprietary,269,"551,733"
2582700,25827,CORTIVA INSTITUTE - DESERT INSTITUTE OF THE HEALING A,AZ,proprietary,48,"92,992"
2623800,26238,CORTIVA INSTITUTE - SCHOOL OF MASSAGE THERAPY,AZ,proprietary,66,"140,280"
2173300,15324,DEVOE COLLEGE OF BEAUTY,AZ,proprietary,25,"57,429"
824600,8246,DIN? COLLEGE,AZ,public 2 year,"1,202","3,162,357"
1085800,10858,EARL'S ACADEMY OF BEAUTY,AZ,proprietary,152,"358,511"
3572300,35723,EAST VALLEY INSTITUTE OF TECHNOLOGY,AZ,public 2 year,34,"96,471"
107300,1073,EASTERN ARIZONA COLLEGE,AZ,public 2 year,"1,030","2,345,878"
3156300,31563,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AZ,public 2 year,"1,377","2,665,586"
2295000,16203,EVEREST COLLEGE,AZ,proprietary,"1,895","3,824,162"
830300,8303,GATEWAY COMMUNITY COLLEGE,AZ,public 2 year,"1,778","3,211,636"
107600,1076,GLENDALE COMMUNITY COLLEGE,AZ,public 2 year,"3,971","7,922,287"
107400,1074,GRAND CANYON UNIVERSITY,AZ,proprietary,"1,208","2,273,748"
3445300,34453,HDS TRUCK DRIVING INSTITUTE,AZ,proprietary,87,"201,250"
1218400,14283,INTERNATIONAL ACADEMY OF HAIR DESIGN,AZ,proprietary,105,"212,369"
3347300,33473,INTERNATIONAL BAPTIST COLLEGE,AZ,private 4 year,27,"64,500"
2218800,15681,INTERNATIONAL INSTITUTE OF THE AMERICAS,AZ,private 4 year,"1,610","4,423,241"
2071200,13884,KAPLAN COLLEGE,AZ,proprietary,363,"865,800"
2521500,5186,LAMSON COLLEGE,AZ,proprietary,424,"966,721"
2181300,15391,LONG TECHNICAL COLLEGE,AZ,proprietary,71,"128,991"
2192300,15491,MARICOPA BEAUTY COLLEGE,AZ,proprietary,66,"182,722"
107700,1077,MESA COMMUNITY COLLEGE,AZ,public 2 year,"4,958","10,042,317"
1186400,11864,MOHAVE COMMUNITY COLLEGE,AZ,public 2 year,"2,410","5,041,043"
3004700,30047,MUNDUS INSTITUTE,AZ,proprietary,15,"20,980"
108200,1082,NORTHERN ARIZONA UNIVERSITY,AZ,public 4 year,"4,476","11,847,443"
1186200,11862,NORTHLAND PIONEER COLLEGE,AZ,public 2 year,759,"1,540,273"
2623600,26236,PARADISE VALLEY COMMUNITY COLLEGE,AZ,public 2 year,"1,342","2,619,780"
107800,1078,PHOENIX COLLEGE,AZ,public 2 year,"2,798","5,989,975"
726600,7266,PIMA COUNTY COMMUNITY COLLEGE,AZ,public 2 year,"6,621","14,111,867"
2217100,15666,PIMA MEDICAL INSTITUTE,AZ,proprietary,"4,172","9,866,029"
2065300,13659,PRESCOTT COLLEGE,AZ,private 4 year,333,"790,151"
2177500,14483,RIO SALADO COMMUNITY COLLEGE,AZ,public 2 year,"2,861","4,534,783"
2113800,14740,ROBERTO-VENN SCHOOL OF LUTHIERY,AZ,proprietary,12,"26,796"
3005000,30050,SAFFORD COLLEGE OF BEAUTY CULTURE,AZ,proprietary,52,"152,188"
830400,8304,SCOTTSDALE COMMUNITY COLLEGE,AZ,public 2 year,"1,437","2,901,986"
2616700,26167,SCOTTSDALE CULINARY INSTITUTE,AZ,proprietary,"1,147","2,821,029"
2146600,15001,SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,public 2 year,"1,300","2,588,362"
3593300,35933,SOUTHWEST INSTITUTE OF HEALING ARTS,AZ,proprietary,147,"309,705"
711300,7113,SOUTHWESTERN COLLEGE,AZ,private 4 year,90,"233,589"
1168900,14127,THE REFRIGERATION SCHOOL,AZ,proprietary,269,"635,389"
3784400,37844,TOHONO O'ODHAM COMMUNITY COLLEGE,AZ,private 2 year,70,"141,393"
2561900,25619,TONI AND GUY HAIRDRESSING ACADEMY,AZ,proprietary,101,"243,477"
446700,14212,TUCSON COLLEGE,AZ,proprietary,622,"1,404,799"
4059300,40593,TUCSON COLLEGE OF BEAUTY,AZ,proprietary,33,"60,442"
3740500,37405,TUCSON DESIGN COLLEGE,AZ,proprietary,120,"260,615"
3814300,38143,TURNING POINT BEAUTY COLLEGE,AZ,proprietary,14,"40,447"
822100,8221,UNIVERSAL TECHNICAL INSTITUTE,AZ,proprietary,"4,842","10,844,460"
2100500,14518,UNIVERSAL TECHNICAL INSTITUTE,AZ,proprietary,"3,625","8,591,201"
2559000,17188,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,proprietary,404,"984,968"
108300,1083,UNIVERSITY OF ARIZONA (THE),AZ,public 4 year,"6,251","16,673,174"
2098800,14593,UNIVERSITY OF PHOENIX,AZ,proprietary,"115,462","245,111,505"
2171500,14970,WESTERN INTERNATIONAL UNIVERSITY,AZ,proprietary,"5,363","12,746,848"
107900,1079,YAVAPAI COLLEGE,AZ,public 2 year,"1,306","2,634,115"
3150500,31505,A - TECHNICAL COLLEGE,CA,proprietary,86,"242,407"
3662400,36624,ACADEMY EDUCATION SERVICES,CA,proprietary,32,"53,004"
753100,7531,ACADEMY OF ART UNIVERSITY,CA,proprietary,"2,369","5,127,296"
4109300,41093,ACADEMY OF BARBERING ARTS (THE),CA,proprietary,22,"49,892"
