OPEID,Name,State,Type & Control,Recips,Awards
41324,ACADEMY OF ESTHETICS AND COSMETOLOGY,CA,Proprietary 2 Year,23,"107,997"
23424,ACADEMY OF RADIO & TV BROADCASTING,CA,Proprietary 2 Year,167,"644,087"
33274,"ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE, BERKELEY",CA,Private 4 Year,1,"2,500"
30199,ADELANTE CAREER INSTITUTE,CA,Proprietary 2 Year,87,"325,937"
25204,ADRIANS BEAUTY COLLEGE OF TURLOCK,CA,Proprietary 2 Year,178,"679,594"
37363,ADVANCE BEAUTY COLLEGE,CA,Proprietary 2 Year,413,"1,546,739"
37863,ADVANCED COLLEGE,CA,Proprietary 2 Year,433,"1,678,206"
35324,ADVANCED TRAINING ASSOCIATES,CA,Proprietary 2 Year,52,"215,957"
22586,ALAMEDA BEAUTY COLLEGE,CA,Proprietary 2 Year,222,"991,113"
22823,ALHAMBRA BEAUTY COLLEGE,CA,Proprietary 2 Year,206,"813,152"
1111,ALLAN HANCOCK COLLEGE,CA,Public 2 Year,"2,022","6,747,187"
11117,ALLIANT INTERNATIONAL UNIVERSITY,CA,Private 4 Year,84,"317,908"
39696,AMERICAN AUTO INSTITUTE,CA,Proprietary 2 Year,211,"773,374"
13074,AMERICAN BEAUTY COLLEGE,CA,Proprietary 2 Year,55,"191,250"
22418,AMERICAN CAREER COLLEGE,CA,Proprietary 2 Year,"4,774","18,348,161"
39713,AMERICAN CAREER COLLEGE,CA,Proprietary 2 Year,"1,671","5,933,554"
31444,AMERICAN COLLEGE OF HEALTHCARE,CA,Proprietary 2 Year,233,"885,888"
39623,AMERICAN INSTITUTE OF MASSAGE THERAPY,CA,Proprietary 2 Year,9,"31,050"
2741,AMERICAN JEWISH UNIVERSITY,CA,Private 4 Year,40,"156,092"
40713,AMERICAN PACIFIC COLLEGE,CA,Proprietary 2 Year,7,"12,040"
1232,AMERICAN RIVER COLLEGE,CA,Public 2 Year,"11,106","37,283,548"
32253,AMERICAN UNIVERSITY OF HEALTH SCIENCES,CA,Proprietary 4 Year,79,"270,188"
41604,ANGELES COLLEGE OF NURSING,CA,Proprietary 2 Year,33,"146,745"
41644,ANGELES INSTITUTE,CA,Proprietary 2 Year,27,"62,004"
1113,ANTELOPE VALLEY COLLEGE,CA,Public 2 Year,"7,187","21,439,682"
1116,ART CENTER COLLEGE OF DESIGN,CA,Private 4 Year,730,"3,534,465"
