OPEID,NAME,CITY,STATE,Type & Control,Recipients,Awards
3072200,CHANDLER-GILBERT COMMUNITY COLLEGE,CHANDLER,AZ,Public 2 Year,"3,506","11,436,080"
2280500,CHARLES OF ITALY BEAUTY COLLEGE,LAKE HAVASU CITY,AZ,Proprietary 2 Year,100,"396,466"
107200,COCHISE COLLEGE,DOUGLAS,AZ,Public 2 Year,"2,229","7,651,725"
3100400,COCONINO COUNTY COMMUNITY COLLEGE,FLAGSTAFF,AZ,Public 2 Year,"1,564","5,379,725"
3120300,COLLEGE AMERICA,FLAGSTAFF,AZ,Proprietary 4 Year,818,"4,912,632"
2160305,COLLINS COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"1,144","6,112,105"
3034400,CONSERVATORY RECORDING ARTS & SCIS,TEMPE,AZ,Proprietary 2 Year,560,"1,976,729"
2623800,CORTIVA INSTITUTE - SCOTTSDALE,SCOTTSDALE,AZ,Proprietary 2 Year,113,"318,127"
2582700,CORTIVA INSTITUTE - TUCSON,TUCSON,AZ,Proprietary 2 Year,216,"635,723"
824600,DIN?COLLEGE,TSAILE,AZ,Public 4 Year,"1,857","7,250,884"
3572300,EAST VALLEY INSTITUTE OF TECHNOLOGY,MESA,AZ,Public 2 Year,71,"235,528"
107300,EASTERN ARIZONA COLLEGE,THATCHER,AZ,Public 2 Year,"1,938","7,081,448"
3156300,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AVONDALE,AZ,Public 2 Year,"4,368","14,041,262"
2295000,EVEREST COLLEGE,PHOENIX,AZ,Proprietary 4 Year,"6,341","27,845,203"
2533200,FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTUR,SCOTTSDALE,AZ,Private 4 Year,2,"2,677"
830300,GATEWAY COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"3,153","9,297,204"
107600,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,Public 2 Year,"9,337","30,636,347"
107400,GRAND CANYON UNIVERSITY,PHOENIX,AZ,Proprietary 4 Year,"20,401","83,171,974"
3445300,HDS TRUCK DRIVING INSTITUTE,TUCSON,AZ,Proprietary 2 Year,64,"222,808"
1218400,INTERNATIONAL ACAD OF HAIR DESIGN,CHANDLER,AZ,Proprietary 2 Year,287,"1,120,523"
3347300,INTERNATIONAL BAPTIST COLLEGE,CHANDLER,AZ,Private 4 Year,38,"153,142"
732911,ITT TECHNICAL INSTITUTE,TEMPE,AZ,Proprietary 4 Year,"2,896","14,024,131"
732990,ITT TECHNICAL INSTITUTE,TUCSON,AZ,Proprietary 4 Year,"2,382","11,930,065"
2071200,KAPLAN COLLEGE,PHOENIX,AZ,Proprietary 2 Year,539,"2,440,628"
4175300,KOHLER ACADEMY,SCOTTSDALE,AZ,Proprietary 2 Year,70,"313,342"
2521500,LAMSON COLLEGE,TEMPE,AZ,Proprietary 2 Year,262,"978,070"
2616700,LE CORDON BLEU COLLEGE OF CULINARY ARTS,SCOTTSDALE,AZ,Proprietary 4 Year,"2,030","9,568,447"
2192300,MARICOPA BEAUTY COLLEGE,AVONDALE,AZ,Proprietary 2 Year,132,"590,516"
107700,MESA COMMUNITY COLLEGE,MESA,AZ,Public 2 Year,"11,286","37,651,882"
1186400,MOHAVE COMMUNITY COLLEGE,KINGMAN,AZ,Public 2 Year,"4,103","13,077,073"
4157400,NATIONAL PARALEGAL COLLEGE,PHOENIX,AZ,Proprietary 4 Year,270,"942,280"
3813300,NORTHCENTRAL UNIVERSITY,PRESCOTT VALLEY,AZ,Proprietary 4 Year,129,"308,611"
108200,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,Public 4 Year,"8,161","33,189,629"
1186200,NORTHLAND PIONEER COLLEGE,HOLBROOK,AZ,Public 2 Year,"1,235","3,527,102"
2623600,PARADISE VALLEY COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"2,713","8,644,330"
4174100,PAUL MITCHELL THE SCHOOL PHOENIX,PHOENIX,AZ,Proprietary 2 Year,107,"452,551"
107800,PHOENIX COLLEGE,PHOENIX,AZ,Public 2 Year,"6,883","22,900,216"
726600,PIMA COUNTY COMMUNITY COLLEGE,TUCSON,AZ,Public 2 Year,"14,971","52,463,504"
2217100,PIMA MEDICAL INSTITUTE,TUCSON,AZ,Proprietary 2 Year,"8,342","33,276,746"
