PELLID,Institution,City,State,Recipients,Awards
015453,"Heald College, School of Technology",Martinez,CA,461,"876,665"
007234,"Heald College, Schools of Business and Technology",San Francisco,CA,"1,860","3,418,791"
007477,"Heald College, Schools of Business and Technology",Rancho Cordova,CA,732,"1,469,867"
008093,"Heald College, Schools of Business and Technology",Fresno,CA,852,"1,678,908"
008532,"Heald College, Schools of Business and Technology",Hayward,CA,"1,094","2,108,061"
025931,"Heald College, Schools of Business and Technology",Roseville,CA,589,"1,008,125"
025932,"Heald College, Schools of Business and Technology",Milpitas,CA,761,"1,357,101"
025933,"Heald College, Schools of Business and Technology",Stockton,CA,479,"995,323"
030340,"Heald College, Schools of Business and Technology",Salinas,CA,579,"1,094,867"
015974,Heald College-Schools of Business and Technology,Santa Rosa,CA,220,"384,833"
001183,Holy Names College,Oakland,CA,142,"270,144"
001252,Hope International University,Fullerton,CA,251,"449,496"
001149,Humboldt State University,Arcata,CA,"2,923","6,282,247"
001212,Humphreys College,Stockton,CA,485,"852,666"
017061,Hypnosis Motivation Institute,Tarzana,CA,85,"133,538"
001214,Imperial Valley College,Imperial,CA,"2,631","4,920,723"
025395,Irvine Valley College,Irvine,CA,986,"1,960,437"
004484,John F. Kennedy University,Orinda,CA,47,"56,810"
009268,Kelsey-Jenney College,San Diego,CA,458,"810,060"
001215,La Sierra University,Riverside,CA,407,"832,350"
012907,Lake Tahoe Community College,South Lake Tahoe,CA,178,"252,193"
001266,Laney College,Oakland,CA,"2,072","4,336,566"
030357,Las Positas College,Livermore,CA,355,"520,220"
001217,Lassen College,Susanville,CA,409,"818,955"
016029,LIFE Bible College,San Dimas,CA,192,"305,543"
015732,Life Chiropractic College West,San Lorenzo,CA,10,"12,528"
001218,Loma Linda University,Loma Linda,CA,421,"824,540"
001219,LONG BEACH CITY COLLEGE,Long Beach,CA,"7,210","12,248,450"
001223,Los Angeles City College,Los Angeles,CA,"3,396","7,301,306"
006165,Los Angeles County College of Nursing and Allied Health -,Los Angeles,CA,61,"96,704"
001224,Los Angeles Harbor College,Wilmington,CA,"1,861","3,010,734"
012550,LOS ANGELES MISSION COLLEGE,Sylmar,CA,778,"1,580,292"
017306,Los Angeles Ort Technical Institute,Los Angeles,CA,"1,412","2,891,837"
001226,Los Angeles Pierce College,Woodland Hills,CA,"1,299","2,361,169"
007047,Los Angeles Southwest College,Los Angeles,CA,"1,334","2,464,364"
001227,Los Angeles Trade Technical College,Los Angeles,CA,"2,495","4,849,557"
001228,Los Angeles Valley College,Van Nuys,CA,"2,130","4,200,125"
010340,Los Medanos College,Pittsburg,CA,694,"1,296,028"
001234,Loyola Marymount University,Los Angeles,CA,"1,177","2,510,172"
030749,Martinez Adult School,Martinez,CA,36,"59,968"
010474,Marymount College,Rancho Palos Verdes,CA,151,"304,537"
001220,Master's College and Seminary,Santa Clarita,CA,307,"597,992"
011672,Mendocino Community College,Ukiah,CA,706,"1,253,356"
001236,Menlo College,Atherton,CA,181,"354,865"
001237,Merced College,Merced,CA,"2,631","5,194,710"
001267,Merritt College,Oakland,CA,666,"1,313,708"
001238,Mills College,Oakland,CA,303,"619,674"
001239,MiraCosta College,Oceanside,CA,773,"1,336,563"
014458,Mission College,Santa Clara,CA,879,"1,632,890"
001240,Modesto Junior College,Modesto,CA,"2,942","4,925,053"
001241,Monterey Institute of International Studies,Monterey,CA,7,"17,125"
001242,Monterey Peninsula College,Monterey,CA,696,"1,223,130"
030624,Mount Diablo Adult Education,Concord,CA,75,"152,716"
001243,Mount Saint Mary's College,Los Angeles,CA,795,"1,682,562"
001245,Mount San Antonio College,Walnut,CA,"3,045","5,768,614"
001246,Mt San Jacinto College,San Jacinto,CA,"1,905","3,358,769"
001247,Napa Valley College,Napa,CA,564,"1,039,989"
016968,National Hispanic University,San Jose,CA,90,"148,824"
011460,National University - La Jolla,La Jolla,CA,"1,589","2,847,706"
010831,New College of California,San Francisco,CA,127,"236,107"
001249,Occidental College,Los Angeles,CA,445,"1,003,524"
004481,Ohlone College,Fremont,CA,703,"1,155,274"
001250,Orange Coast College,Costa Mesa,CA,"2,653","5,396,156"
001251,Otis College of Art and Design,Westchester,CA,302,"681,942"
001255,Pacific Oaks College,Pasadena,CA,87,"99,640"
031633,Pacific States University,Los Angeles,CA,1,333
001258,Pacific Union College,Angwin,CA,501,"963,624"
015135,Palmer College of Chiropractic West,San Jose,CA,11,"16,322"
001259,Palo Verde College,Blythe,CA,236,"456,444"
001260,Palomar College,San Marcos,CA,"1,082","1,738,358"
001261,Pasadena City College,Pasadena,CA,"3,644","6,980,240"
004490,Patten College,Oakland,CA,214,"435,803"
001264,Pepperdine University,Malibu,CA,584,"1,147,753"
001172,Pitzer College,Claremont,CA,255,"532,046"
001262,Point Loma Nazarene University,San Diego,CA,572,"1,112,428"
015017,Pomona Adult School,Pomona,CA,93,"110,315"
001173,Pomona College,Claremont,CA,228,"490,359"
001308,Reedley College,Reedley,CA,"3,067","5,269,355"
001269,Rio Hondo Community College,Whittier,CA,"2,723","4,934,151"
001270,Riverside Community College,Riverside,CA,"4,296","6,811,553"
001233,Sacramento City College,Sacramento,CA,"3,397","6,407,411"
008918,Saddleback College,Mission Viejo,CA,889,"1,434,086"
001299,Saint John's Seminary,Camarillo,CA,38,"96,940"
001302,Saint Mary's College of California,Moraga,CA,556,"1,159,338"
026193,Samra University of Oriental Medicine,Los Angeles,CA,21,"31,930"
007012,Samuel Merritt College,Oakland,CA,113,"220,977"
001272,San Bernardino Valley College,San Bernardino,CA,"3,385","6,200,136"
001273,San Diego City College,San Diego,CA,"4,329","8,030,437"
015825,San Diego Community College Continuing Education Centers,San Diego,CA,138,"176,357"
001275,San Diego Mesa College,San Diego,CA,"2,728","5,155,483"
014172,San Diego Miramar College,San Diego,CA,704,"1,260,369"
001151,San Diego State University,San Diego,CA,"8,901","18,499,804"
003948,San Francisco Art Institute,San Francisco,CA,214,"462,387"
012874,San Francisco Community College System Office,San Francisco,CA,"3,707","7,028,332"
001278,San Francisco Conservatory of Music,San Francisco,CA,34,"68,938"
001154,San Francisco State University,San Francisco,CA,"7,487","15,882,721"
016902,SAN JOAQUIN COLLEGE OF LAW,Clovis,CA,23,"21,368"
001280,San Joaquin Delta College,Stockton,CA,"5,443","8,822,422"
001281,SAN JOSE CHRISTIAN COLLEGE,San Jose,CA,87,"130,967"
001282,San Jose City College,San Jose,CA,"1,456","2,440,995"
001155,San Jose State University,San Jose,CA,"6,633","14,007,122"
001284,Santa Ana College,Santa Ana,CA,"2,295","4,450,788"
001285,Santa Barbara City College,Santa Barbara,CA,"1,498","2,540,269"
001326,Santa Clara University,Santa Clara,CA,634,"951,945"
001286,Santa Monica College,Santa Monica,CA,"2,788","4,798,256"
001287,Santa Rosa Junior College - Santa Rosa,Santa Rosa,CA,"1,632","3,027,871"
001174,Scripps College,Claremont,CA,118,"227,134"
016802,SHASTA BIBLE COLLEGE,REDDING,CA,13,"16,306"
001289,Shasta College,Redding,CA,"2,468","4,255,376"
