PELLID,Institution,State,Recipients,Awards,
31202,Bryan College-San Francisco                                           ,CA,11,"15,342",
7606,Bryman College                                                        ,CA,649,"1,036,763",
8090,Bryman College                                                        ,CA,"1,069","2,017,662",
11024,Bryman College                                                        ,CA,663,"1,078,456",
11107,Bryman College                                                        ,CA,603,"1,001,602",
11109,Bryman College                                                        ,CA,586,"994,716",
11121,Bryman College                                                        ,CA,791,"1,031,804",
11123,Bryman College                                                        ,CA,943,"1,520,544",
12061,Bryman College                                                        ,CA,435,"780,133",
30723,Bryman College                                                        ,CA,501,"899,351",
31286,Business & Technology Training Institute                              ,CA,30,"32,705",
6972,Butte College                                                         ,CA,"3,221","6,133,136",
1124,Cabrillo College                                                      ,CA,"1,500","2,834,566",
1125,California Baptist University                                         ,CA,711,"1,367,238",
13828,California Beauty College                                             ,CA,23,"55,107",
16855,California Business Institute                                         ,CA,641,"1,578,187",
14128,California Christian College                                          ,CA,87,"148,198",
14683,California College For Health Sciences- Resident Division             ,CA,68,"138,776",
1127,California College Of Arts & Crafts                                   ,CA,330,"729,708",
16720,California College Of Technology                                      ,CA,202,"365,786",
13500,California Cosmetology College                                        ,CA,23,"31,182",
15698,California Culinary Academy                                           ,CA,274,"518,719",
31254,California Design College                                             ,CA,295,"681,009",
11865,California Hair Design Academy                                        ,CA,103,"207,773",
31534,California Institute Of Customer Engineering                          ,CA,55,"46,534",
12154,California Institute Of Integral Studies                              ,CA,16,"19,483",
1131,California Institute Of Technology                                    ,CA,137,"296,069",
1132,California Institute Of The Arts                                      ,CA,225,"559,424",
1133,California Lutheran University                                        ,CA,357,"728,057",
1134,California Maritime Academy                                           ,CA,162,"407,157",
12562,California Paramedical And Technical College                          ,CA,678,"1,517,295",
1143,California Polytechnic State University                               ,CA,"3,695","7,990,713",
33833,California Recording Institute                                        ,CA,51,"77,396",
30695,California School Of Court Reporting-Riverside Inc                    ,CA,201,"368,734",
32103,California School Of Culinary Arts-                                   ,CA,400,"881,967",
34463,California School Of Medical Sciences                                 ,CA,195,"527,722",
1144,"California State Polytechnic University, Pomona                       ",CA,"6,324","14,929,920",
1147,California State University - Fresno                                  ,CA,"7,106","17,118,221",
1139,California State University - Long Beach                              ,CA,"8,411","18,676,629",
1150,California State University - Sacramento                              ,CA,"7,742","16,293,042",
1142,California State University - San Bernardino                          ,CA,"5,284","11,909,043",
30113,California State University San Marcos                                ,CA,"1,893","3,878,936",
7993,"California State University, Bakersfield                              ",CA,"2,478","5,493,087",
1146,"California State University, Chico                                    ",CA,"5,169","11,634,675",
1141,"California State University, Dominguez Hills                          ",CA,"4,218","9,010,915",
1137,"California State University, Fullerton                                ",CA,"7,190","15,783,232",
1138,"California State University, Hayward                                  ",CA,"2,909","6,548,589",
1140,"California State University, Los Angeles                              ",CA,"6,777","15,956,798",
32603,"California State University, Monterey Bay                             ",CA,"1,024","2,404,246",
1153,"California State University, Northridge                               ",CA,"9,994","22,733,208",
1157,"California State University, Stanislaus                               ",CA,"2,480","5,452,893",
6973,Canada College                                                        ,CA,205,"390,327",
